Date	Value
23-Jul	9.75
24-Jul	8.29
25-Jul	8.01
26-Jul	10.05
27-Jul	6.85
28-Jul	1.85
29-Jul	0.87
30-Jul	8.55
31-Jul	14.02
1-Aug	8.61
2-Aug	8.24
3-Aug	7.75
4-Aug	1.65
5-Aug	1.33
6-Aug	9.89
7-Aug	9.21
8-Aug	8.87
9-Aug	7.87
10-Aug	7.46
11-Aug	3.60
12-Aug	2.60
13-Aug	10.86
14-Aug	10.56
15-Aug	9.44
16-Aug	10.85
17-Aug	7.44
18-Aug	2.30
19-Aug	0.47
20-Aug	9.26
21-Aug	14.60
22-Aug	10.47
23-Aug	1.22
24-Aug	1.40
25-Aug	1.88
26-Aug	1.47
27-Aug	2.69
28-Aug	12.01
29-Aug	11.35
30-Aug	10.54
31-Aug	12.19
1-Sep	4.75
2-Sep	3.58
3-Sep	6.91
4-Sep	10.37
5-Sep	12.42
6-Sep	11.13
7-Sep	15.08
8-Sep	8.43
9-Sep	1.68
10-Sep	12.64
11-Sep	19.68
12-Sep	14.04
13-Sep	13.46
14-Sep	11.21
15-Sep	2.17
16-Sep	6.15
17-Sep	8.21
18-Sep	18.15
19-Sep	17.54
20-Sep	14.69
21-Sep	14.32
