Date	Value
23-Jul	9.60
24-Jul	9.65
25-Jul	9.36
26-Jul	12.09
27-Jul	7.54
28-Jul	3.14
29-Jul	2.22
30-Jul	8.77
31-Jul	10.70
1-Aug	10.38
2-Aug	9.69
3-Aug	10.85
4-Aug	4.63
5-Aug	3.12
6-Aug	10.99
7-Aug	10.98
8-Aug	11.66
9-Aug	12.75
10-Aug	7.94
11-Aug	5.33
12-Aug	2.40
13-Aug	9.41
14-Aug	10.57
15-Aug	8.54
16-Aug	9.57
17-Aug	9.96
18-Aug	5.26
19-Aug	1.06
20-Aug	11.29
21-Aug	12.01
22-Aug	37.61
23-Aug	4.55
24-Aug	3.82
25-Aug	4.01
26-Aug	3.11
27-Aug	2.96
28-Aug	16.81
29-Aug	15.06
30-Aug	15.42
31-Aug	11.39
1-Sep	6.63
2-Sep	5.33
3-Sep	6.74
4-Sep	34.99
5-Sep	16.37
6-Sep	17.14
7-Sep	13.20
8-Sep	13.06
9-Sep	2.04
10-Sep	14.04
11-Sep	13.62
12-Sep	16.00
13-Sep	14.22
14-Sep	15.29
15-Sep	5.03
16-Sep	3.44
17-Sep	6.88
18-Sep	18.49
19-Sep	13.50
20-Sep	11.75
21-Sep	10.16
