Date	Value
23-Jul	6.81
24-Jul	8.52
25-Jul	7.57
26-Jul	9.54
27-Jul	6.55
28-Jul	2.26
29-Jul	1.52
30-Jul	6.60
31-Jul	7.25
1-Aug	6.81
2-Aug	6.80
3-Aug	6.29
4-Aug	1.31
5-Aug	0.97
6-Aug	7.55
7-Aug	6.37
8-Aug	6.70
9-Aug	8.42
10-Aug	6.91
11-Aug	2.89
12-Aug	1.18
13-Aug	9.12
14-Aug	9.69
15-Aug	8.61
16-Aug	9.68
17-Aug	4.95
18-Aug	2.85
19-Aug	0.47
20-Aug	9.56
21-Aug	11.83
22-Aug	12.67
23-Aug	2.03
24-Aug	8.34
25-Aug	1.62
26-Aug	0.01
27-Aug	0.00
28-Aug	9.67
29-Aug	15.12
30-Aug	11.43
31-Aug	8.37
1-Sep	5.13
2-Sep	2.89
3-Sep	5.44
4-Sep	10.68
5-Sep	10.99
6-Sep	9.66
7-Sep	8.39
8-Sep	6.14
9-Sep	1.85
10-Sep	11.40
11-Sep	11.61
12-Sep	11.29
13-Sep	14.97
14-Sep	12.69
15-Sep	2.56
16-Sep	6.37
17-Sep	18.41
18-Sep	10.39
19-Sep	9.85
20-Sep	12.58
21-Sep	13.19
