Source	Value
9/11/2018 3:00:51 AM	11.61
9/11/2018 4:00:05 AM	6.40
9/11/2018 4:00:18 AM	13.06
9/11/2018 5:00:08 AM	5.87
9/11/2018 5:00:16 AM	6.39
9/11/2018 6:00:05 AM	5.85
9/11/2018 6:00:24 AM	6.31
9/11/2018 7:00:15 AM	11.69
9/11/2018 7:00:35 AM	10.32
9/11/2018 8:00:40 AM	6.37
9/11/2018 8:00:48 AM	12.60
9/11/2018 9:00:02 AM	12.43
9/11/2018 9:00:03 AM	9.38
9/11/2018 9:00:29 AM	6.38
9/11/2018 10:00:15 AM	8.62
9/11/2018 10:00:22 AM	6.30
9/11/2018 11:00:03 AM	10.30
9/11/2018 11:00:28 AM	6.96
9/11/2018 12:00:11 PM	12.54
9/11/2018 12:00:39 PM	6.03
9/11/2018 1:00:48 PM	3.60
9/11/2018 1:00:51 PM	12.42
9/11/2018 2:00:22 PM	8.61
9/11/2018 2:00:56 PM	4.14
9/11/2018 3:00:03 PM	6.99
9/11/2018 3:00:04 PM	15.88
9/11/2018 4:00:06 PM	6.06
9/11/2018 4:00:14 PM	11.59
9/11/2018 5:00:03 PM	3.60
9/11/2018 5:00:25 PM	16.22
9/11/2018 6:00:10 PM	4.13
9/11/2018 6:00:38 PM	28.37
9/11/2018 7:00:41 PM	16.00
9/11/2018 7:00:47 PM	4.75
9/11/2018 8:00:03 PM	3.57
9/11/2018 8:00:06 PM	11.61
9/11/2018 9:00:01 PM	10.18
9/11/2018 9:00:02 PM	4.13
9/11/2018 10:00:02 PM	11.37
9/11/2018 10:00:10 PM	3.25
9/11/2018 11:00:16 PM	5.27
9/11/2018 11:00:27 PM	3.73
9/12/2018 12:00:16 AM	3.55
9/12/2018 12:00:24 AM	3.17
9/12/2018 1:00:05 AM	4.13
9/12/2018 1:00:32 AM	4.58
9/12/2018 2:00:09 AM	3.24
9/12/2018 2:00:40 AM	6.30
9/12/2018 3:00:04 AM	10.06
9/12/2018 3:00:07 AM	5.27
