INSTNAME       ,DB_ID     ,HOSTNAME                      ,        ID,TM               ,      INST,       DUR,       CPU,   LOADAVG,   AAS_CPU,RSRCMGRPCT,  OSCPUPCT,  OSCPUSYS,   OSCPUIO
tesprrn1       ,3956548928,example.com          ,     21701,10/04/18 23:00:31,         1,      60.1,        28,      17.6,6.46912646,         0,23.1040231,4.82815347,.032445923
tesprrn1       ,3956548928,example.com          ,     21702,10/05/18 00:00:37,         1,     60.08,        28,      26.7,14.0177448,         0,50.0633743,10.8987319,.017029919
tesprrn1       ,3956548928,example.com          ,     21736,10/06/18 10:00:24,         1,     59.63,        28,      9.59,6.18475126,         0,22.0883973,3.72786074,  .0216302
tesprrn1       ,3956548928,example.com          ,     21588,09/30/18 06:00:17,         1,     59.73,        28,      5.62,6.21050781,         0, 22.180385,4.26420998,.023407605
tesprrn1       ,3956548928,example.com          ,     21685,10/04/18 07:00:53,         1,     59.22,        28,     10.56,8.52954405,         0,30.4626573,5.38107635,.017480198
tesprrn1       ,3956548928,example.com          ,     21687,10/04/18 09:00:05,         1,      60.1,        28,     10.34,7.93414032,         0,28.3362154,4.80867205,.028563505
tesprrn1       ,3956548928,example.com          ,     21715,10/05/18 13:00:07,         1,     60.13,        28,     20.62,18.3230183,         0, 65.439351,8.09500713,.015748733
tesprrn1       ,3956548928,example.com          ,     21720,10/05/18 18:00:23,         1,     60.08,        28,     21.33,10.0399834,         0,35.8570834, 5.8559045,.014592827
tesprrn1       ,3956548928,example.com          ,     21734,10/06/18 08:00:13,         1,     60.08,        28,      8.06,8.17924827,         0, 29.211601,3.99217357,.016395879
tesprrn1       ,3956548928,example.com          ,     21654,10/03/18 00:00:37,         1,      60.1,        28,      12.7,8.62273156,         0,30.7954699,7.61710641,.019857777
tesprrn1       ,3956548928,example.com          ,     21750,10/07/18 00:00:32,         1,      60.1,        28,      4.67,2.65953411,9.9041E-06, 9.4983262,2.80948419,.017262895
tesprrn1       ,3956548928,example.com          ,     21765,10/07/18 15:00:13,         1,     59.85,        28,      4.62,6.14673629,         0,21.9526296,4.15223575,.020288817
tesprrn1       ,3956548928,example.com          ,     21767,10/07/18 17:00:10,         1,     60.08,        28,      4.88, 2.2689681,9.9069E-06,8.10344759,2.78158312,.021854567
tesprrn1       ,3956548928,example.com          ,     21769,10/07/18 19:00:21,         1,      60.1,        28,     19.79,17.3481253,9.9041E-06,61.9575806,9.01749069,.010577609
tesprrn1       ,3956548928,example.com          ,     21775,10/08/18 01:00:12,         1,     59.82,        28,      6.01,5.87857899,.000019902,20.9949051,5.82925009,.025763245
tesprrn1       ,3956548928,example.com          ,     21778,10/08/18 04:00:12,         1,     60.08,        28,      5.94,2.12680444,         0,7.59573014,2.53577373, .04289677
tesprrn1       ,3956548928,example.com          ,     21779,10/08/18 05:00:17,         1,      60.1,        28,      4.35,2.66606489,         0,9.52166033,2.66634973,.052105618
tesprrn1       ,3956548928,example.com          ,     21693,10/04/18 15:00:45,         1,      60.1,        28,     14.51, 10.750538,         0,38.3947785,5.68348388,.015430631
tesprrn1       ,3956548928,example.com          ,     21785,10/08/18 11:00:07,         1,     60.12,        28,      9.69, 10.443252,         0,37.2973286,5.69256208,.020763199
tesprrn1       ,3956548928,example.com          ,     21704,10/05/18 02:00:48,         1,     59.23,        28,     30.37, 19.224516,         0,68.6589859,9.60387692,.011857866
tesprrn1       ,3956548928,example.com          ,     21714,10/05/18 12:00:44,         1,     59.38,        28,     17.44,13.4809655,         0,48.1463053,6.23111543, .02643238
tesprrn1       ,3956548928,example.com          ,     21724,10/05/18 22:00:10,         1,     60.13,        28,     38.41,23.0876802,         0,82.4560006,16.4209792,.007324992
tesprrn1       ,3956548928,example.com          ,     21726,10/06/18 00:00:25,         1,     59.65,        28,     42.76,20.8870215,         0,74.5965054,17.7092165,.011515587
tesprrn1       ,3956548928,example.com          ,     21730,10/06/18 04:00:20,         1,     60.08,        28,      8.06,4.20081831,         0,15.0029225,2.46811968,.043223697
tesprrn1       ,3956548928,example.com          ,     21761,10/07/18 11:00:35,         1,      60.1,        28,      7.29,7.58316972,9.9041E-06,27.0827391, 4.5803819, .01890698
